84208,83264,1604
105578,104830,1419
105578,107187,628
105578,108689,787
152390,57167,1563
152390,154996,538
215622,120306,1910
215622,123219,674
295078,40278,1377
295078,203734,662
394029,139204,1345
394029,141117,760
394029,142040,1275
490724,235584,1443
534238,279044,1703
534238,281614,959
534238,283336,1665
566733,245832,1444
566733,315195,1125
585709,264966,1341
585709,267184,717
600622,249471,1556
600622,284038,1903
696772,153278,1532
696772,348078,520
696772,348725,1599
790907,247065,1907
808275,228884,1454
808275,266642,792
808275,269260,1016
820537,216530,1624
820537,245091,1765
886921,150537,1074
886921,285572,892
936158,199704,1117
936158,203684,1913
948142,186963,1340
948142,213691,785
948142,214715,1073
1041505,280211,1847
1126856,365923,1220
1126856,367901,530
1126856,370163,510
1144579,347549,1613
1144579,388035,1240
1190162,302037,1466
1190162,395563,612
1259170,370838,1440
1259170,374501,1424
1320061,431784,1400
1320061,434279,948
1320061,435629,1508
1409920,521783,1330
1498298,432715,1311
1498298,612475,607
1498298,614641,510
1537785,393218,1217
1537785,475360,1975
1627789,303373,1230
1627789,485098,896
1725361,400948,1352
1725361,405037,1132
1794306,469762,1624
1794306,472340,563
1794306,473136,600
1849256,413987,1825
1939306,323830,1876
1939306,506428,756
1939306,507524,1252
1986821,371508,1751
1986821,376130,1944
2002588,355132,1492
2002588,389558,787
2070919,423240,1550
2070919,426960,1358
2164636,517261,1325
2164636,519320,637
2164636,520896,831
2222091,459226,1474
2316619,364534,1457
2316619,555713,714
2316619,557287,1155
2407533,455575,1361
2407533,459796,742
2486024,376505,1424
2486024,536434,693
2497720,364808,1514
2497720,391881,1509
2512100,379198,1547
2512100,381724,562
2512100,382781,1627
2578941,445679,1731
2638954,505842,1359
2638954,508264,571
2638954,509807,1743
2689171,455083,1474
2689171,560511,573
2723439,420854,1027
2723439,491557,851
2803892,340197,1356
2803892,505138,919
2892479,428883,1515
2892479,430843,540
2892479,432453,832
2991076,329323,1565
3007946,346199,1529
3007946,348587,761
3007946,350289,1914
3053318,391936,1434
3053318,395762,878
3080215,418428,1792
3080215,420600,978
3095000,402877,1581
3095000,437161,1454
3191823,499925,1268
3191823,501819,736
3191823,503664,1892
3279248,411671,1717
3328116,362675,1587
3328116,462814,782
3328116,463809,606
3344595,379418,1197
3344595,383898,1802
3417758,305622,1553
3417758,454625,627
3444164,331931,1239
3444164,335480,1710
3507308,395209,1281
3507308,397782,660
3507308,399323,1405
3563657,451243,1470
3651386,362963,1526
3651386,541718,565
3651386,542171,680
3728444,439854,1674
3728444,443835,1055
3796456,508026,1393
3796456,509684,645
3829222,474470,1607
3829222,544442,1774
3921277,566437,1679
3921277,568392,899
3921277,570358,858
3986090,631302,1551
4080551,725843,1647
4080551,728526,922
4080551,729716,796
4100727,704748,1431
4100727,750107,876
4189474,793618,1637
4189474,796083,913
4212840,817181,1203
4212840,821347,565
4250254,779127,1640
4250254,856367,891
4250254,858306,1490
4271749,800559,1685
4318249,847202,1250
4318249,849363,963
4318249,850081,1701
4384895,913498,1753
4384895,917920,1175
4463283,834468,1578
4463283,994550,501
4544731,915588,1594
4544731,920254,817
4617255,842383,1542
4617255,990422,640
4617255,992330,1651
4687732,912771,1650
4771266,996262,1809
4771266,999074,922
4771266,1000550,783
4781483,985086,1546
4781483,1011046,844
4870339,1074043,1544
4870339,1076488,553
4960140,1163911,1355
4960140,1167464,1887
5055836,1067314,1514
5055836,1261714,806
5055836,1263326,613
5093987,1105637,1470
5164658,1176347,1346
5164658,1178727,666
5164658,1179504,1432
5178357,1190168,1514
5178357,1193242,1947
5191122,1176654,1370
5191122,1204826,560
5217494,1150311,1287
5217494,1207477,1119
5262298,1195056,1364
5262298,1197245,995
5262298,1199079,1906
5292374,1225321,1179
5332434,1184634,1188
5332434,1267752,620
5332434,1269942,905
5417914,1269973,1418
5417914,1273477,740
5511877,1175228,1748
5511877,1365760,680
5606100,1081287,1025
5606100,1272715,1054
5693445,1168391,1700
5693445,1170466,533
5693445,1172906,1595
5789447,1264160,1628
5887502,1165110,1577
5887502,1364955,949
5887502,1366118,802
5946404,1106576,1467
5946404,1227718,916
6036452,1196254,1706
6036452,1199187,663
6124440,1284544,1206
6124440,1288900,671
6173209,1333325,1582
6173209,1335834,997
6173209,1336470,834
6272434,1233420,1608
6296136,1257176,1186
6296136,1259604,783
6296136,1260629,1963
6366437,1327279,1596
6366437,1330757,1278
6384797,1345551,1567
6384797,1347474,607
6446847,1282904,1196
6446847,1410731,1057
6483812,1319486,1821
6483812,1322278,972
6483812,1322801,728
6514594,1287884,1355
6563473,1239152,1652
6563473,1339031,597
6563473,1341178,810
6641524,1160873,1710
6641524,1320530,1017
6673357,1193095,1261
6673357,1195555,998
6694617,1171258,1507
6694617,1217324,1520
6751057,1114855,1421
6751057,1229340,601
6751057,1230486,1994
6827438,1191131,1395
6838464,1179198,1452
6838464,1204294,778
6838464,1205086,1379
6909370,1108573,1220
6909370,1254118,1802
6966483,1051380,1480
6966483,1168021,831
7066143,1151060,1395
7066143,1154037,1994
7151460,1236105,1669
7151460,1238667,929
7151460,1240861,1088
7225038,1161778,1605
7264144,1122741,1306
7264144,1203393,688
7264144,1205204,1631
7274272,1112722,1249
7274272,1135953,1783
7343769,1182168,1409
7343769,1184678,632
7435357,1273518,1562
7435357,1277515,1276
7520664,1358854,1371
7520664,1361315,523
7520664,1362842,1228
7568392,1310578,1465
7649916,1391666,1904
7649916,1393973,823
7649916,1394987,1063
7727869,1469997,1435
7727869,1473996,929
7791197,1406078,1234
7791197,1535102,654
7842382,1457078,1713
7842382,1460574,1451
7925194,1539993,1563
7925194,1541727,672
7925194,1544055,1526
7941094,1555575,1804
8027988,1467927,1599
8027988,1644539,607
8027988,1646802,780
8089223,1529171,1260
8089223,1533274,1786
8110695,1506831,1816
8110695,1553030,591
8195312,1422274,1494
8195312,1595411,1218
8226022,1452815,1876
8226022,1455049,575
8226022,1456299,786
8256356,1420482,2828
